OBJECTID,OrganizationId,ESDCode,ESDNum,ESDName,LEACode,LEAName,ShortName,Label,PhysicalAddress,MailingAddress,AdministratorName,AdministratorEmail,Phone,Website,County,Counties,CongressionalDistricts,LegislativeDistricts,Type,TransportationRegion,Shape__Area,Shape__Length
76,100211,34801,113,Capital Region ESD 113,14097,Lake Quinault School District,Lake Quinault,,"6130 HWY 101 N, AMANDA PARK, Washington, 98526-0038","PO BOX 38, AMANDA PARK, Washington, 98526-0038",Keith  Samplawski,ksamplawski@lakequinaultschools.org,(360)288-2260,https://www.lakequinaultschools.org/,Grays Harbor,Grays Harbor,6,24,Public School District,1,12475546464.4449,735263.665194737
77,100056,34801,113,Capital Region ESD 113,14099,Cosmopolis School District,Cosmopolis,,"1439 FOURTH STREET, COSMOPOLIS, Washington, 98537-0479","PO BOX 479 , COSMOPOLIS, Washington, 98537",Cherie  Patterson,cpatterson@cosmopolisschool.com,(360)532-7181,https://www.cosmopolisschool.com,Grays Harbor,Grays Harbor,6,19,Public School District,1,1832115686.12894,303854.677061191
78,100228,34801,113,Capital Region ESD 113,14104,Satsop School District,Satsop,,"853 MONTE ELMA RD, SATSOP, Washington, 98583-0096","PO BOX 96, SATSOP, Washington, 98583-0096",Marsha  Hendrick,mhendrick.satsop@gmail.com,(360)482-5330,http://www.satsopschool.org/,Grays Harbor,Grays Harbor,6,24,Public School District,1,272848449.438812,97427.5042000968
79,100300,34801,113,Capital Region ESD 113,14117,Wishkah Valley School District,Wishkah Valley,,"4640 Wishkah Road, Aberdeen, Washington, 98520-9626","4640 Wishkah Road, Aberdeen, Washington, 98520-9626",Donald  Hay,dhay@wishkah.org,(360)532-3128,https://www.wishkah.org/,Grays Harbor,Grays Harbor,6,24,Public School District,1,3097608265.68787,275433.086078494
80,100179,34801,113,Capital Region ESD 113,14172,Ocosta School District,Ocosta,,"2580 S MONTESANO ST, WESTPORT, Washington, 98595-9746","2580 S MONTESANO ST, WESTPORT, Washington, 98595-9746",Heather  Sweet,hsweet@ocosta.org,(360)268-9125 Ext.1000,https://www.ocosta.org/,Grays Harbor,"Grays Harbor, Pacific","3, 6",19,Public School District,1,6888169658.84283,418031.610689494
81,100177,34801,113,Capital Region ESD 113,14400,Oakville School District,Oakville,,"103 SCHOOL ST, OAKVILLE, Washington, 98568-0090","PO BOX H, OAKVILLE, Washington, 98568-0090",Richard  Staley,rstaley@oakvilleschools.org,(360)273-0171,https://www.oakvilleschools.org/,Grays Harbor,"Grays Harbor, Lewis","3, 6",19,Public School District,1,3111046506.78668,279283.116733506
82,100175,29801,189,Northwest Educational Service District 189,15201,Oak Harbor School District,Oak Harbor,,"350 S OAK HARBOR ST, OAK HARBOR, Washington, 98277-5015","350 S OAK HARBOR ST, OAK HARBOR, Washington, 98277-5015",Lance  Gibbon,lgibbon@ohsd.net,(360)279-5008,https://www.ohsd.net/,Island,Island,2,10,Public School District,3,4589297166.35559,327974.027814229
83,100058,29801,189,Northwest Educational Service District 189,15204,Coupeville School District,Coupeville,,"501 S MAIN ST, COUPEVILLE, Washington, 98239-3518","501 S Main St, Coupeville, Washington, 98239",Steve  King,sking@coupeville.k12.wa.us,(360)678-2404,http://www.coupeville.k12.wa.us/,Island,Island,2,10,Public School District,3,3175051949.54773,306663.294698526
84,100245,29801,189,Northwest Educational Service District 189,15206,South Whidbey School District,South Whidbey,,"5520 Maxwelton Road, Langley, Washington, 98260","5520 Maxwelton Road, Langley, Washington, 98260",Josephine  Moccia,jmoccia@sw.wednet.edu,(360)221-6808 Ext.2221,https://www.sw.wednet.edu,Island,Island,2,10,Public School District,3,4070118068.07965,299057.527288179
85,100208,18801,114,Olympic Educational Service District 114,16020,Queets-Clearwater School District,Queets-Clearwater,,"146000 HIGHWAY 101, FORKS, Washington, 98331-9484","146000 HIGHWAY 101, FORKS, Washington, 98331-9484",Homer Lee Petty,lpetty@qcsd20.org,(360)962-2395,http://www.queetsclearwaterschool.org/,Jefferson,Jefferson,6,24,Public School District,2,20034598109.6898,712203.477783011
86,100029,18801,114,Olympic Educational Service District 114,16046,Brinnon School District,Brinnon,,"46 SCHOOLHOUSE RD, BRINNON, Washington, 98320-9651","46 SCHOOLHOUSE RD, BRINNON, Washington, 98320-9651",Patricia  Beathard,pbeathard@bsd46.org,(360)796-4646,https://www.bsd46.org,Jefferson,Jefferson,6,24,Public School District,2,10208657692.1981,602616.91589856
87,100209,18801,114,Olympic Educational Service District 114,16048,Quilcene School District,Quilcene,,"294715 HWY 101, QUILCENE, Washington, 98376-0040","PO BOX 40, QUILCENE, Washington, 98376-0040",Frank  Redmon,fredmon@qsd48.org,(360)765-2902,https://www.qsd48.org,Jefferson,Jefferson,6,24,Public School District,2,13012449466.973,755311.288872031
88,100044,18801,114,Olympic Educational Service District 114,16049,Chimacum School District,Chimacum,,"91 W VALLEY RD, CHIMACUM, Washington, 98325-7731","PO BOX 278, CHIMACUM, Washington, 98325-0278",David  Engle,david_engle@csd49.org,(360)302-5896,https://www.csd49.org,Jefferson,Jefferson,6,24,Public School District,2,4784365645.08636,363109.325206857
89,100203,18801,114,Olympic Educational Service District 114,16050,Port Townsend School District,Port Townsend,,"1610 Blaine St., Port Townsend, Washington, 98368","1610 Blaine St., Port Townsend, Washington, 98368",Sandra  Gessner-Crabtree,sgessner@ptschools.org,(360)379-4501,https://www.ptschools.org/,Jefferson,Jefferson,6,24,Public School District,2,4706616071.5401,439854.894958803
90,100229,17801,121,Puget Sound Educational Service District 121,17001,Seattle Public Schools,Seattle,,"2445 3RD AVE S, SEATTLE, Washington, 98134-1165","PO BOX 34165, SEATTLE, Washington, 98124-1165",Denise  Juneau,superintendent@seattleschools.org,(206)252-0180,https://www.seattleschools.org/,King,King,"7, 9","11, 32, 34, 36, 37, 43, 46",Public School District,2,4008400331.16443,310124.678039317
91,100086,17801,121,Puget Sound Educational Service District 121,17210,Federal Way School District,Federal Way,,"33330 8th AVE S, FEDERAL WAY, Washington, 98003-5433","33330 8th AVE S, FEDERAL WAY, Washington, 98003-5433",Tammy  Campbell,tcampbell@fwps.org,(253)945-2000,https://www.fwps.org/,King,King,"8, 9","30, 33, 47",Public School District,2,1290166636.25568,175997.525477382
92,100080,17801,121,Puget Sound Educational Service District 121,17216,Enumclaw School District,Enumclaw,,"2929 MCDOUGALL AVE, ENUMCLAW, Washington, 98022-7499","2929 MCDOUGALL AVE, ENUMCLAW, Washington, 98022-7499",Shaun  Carey,shaun_carey@enumclaw.wednet.edu,(360)802-7102,https://www.enumclaw.wednet.edu/,King,King,8,"5, 31",Public School District,2,12632980358.5985,738294.692730271
93,100146,17801,121,Puget Sound Educational Service District 121,17400,Mercer Island School District,Mercer Island,,"4160 86TH AVE SE, MERCER ISLAND, Washington, 98040-4196","4160 86TH AVE SE, MERCER ISLAND, Washington, 98040-4196",Donna  Colosky,donna.colosky@mercerislandschools.org,(206)236-3300,https://www.mercerislandschools.org/,King,King,9,41,Public School District,2,363232170.224792,88812.8072975162
94,100105,17801,121,Puget Sound Educational Service District 121,17401,Highline School District,Highline,,"15675 AMBAUM BLVD SW, BURIEN, Washington, 98166-0100","15675 AMBAUM BLVD SW, BURIEN, Washington, 98166-0100",Susan  Enfield,Susan.Enfield@highlineschools.org,(206)631-3000,https://www.highlineschools.org/,King,King,"7, 9","11, 33, 34",Public School District,2,1218178493.87158,165117.244245541
95,100279,17801,121,Puget Sound Educational Service District 121,17402,Vashon Island School District,Vashon Island,,"9309 SW Cemetery Rd, VASHON, Washington, 98070-3105","P O Box 547, VASHON, Washington, 98070-0547",Slade  McSheehy,smcsheehy@vashonsd.org,(206)463-8535,https://www.vashonsd.org/,King,King,7,34,Public School District,2,2294881753.89172,207248.484423684
96,100216,17801,121,Puget Sound Educational Service District 121,17403,Renton School District,Renton,,"300 SW 7TH ST, RENTON, Washington, 98057","300 SW 7TH ST, RENTON, Washington, 98057",Damien  Pattenaude,damien.pattenaude@rentonschools.us,(425)204-2341,https://www.rentonschools.us/,King,King,9,"11, 37, 41",Public School District,2,960243101.09198,198332.728820248
97,100238,17801,121,Puget Sound Educational Service District 121,17404,Skykomish School District,Skykomish,,"105 6TH ST N, SKYKOMISH, Washington, 98288-0325","PO BOX 325, SKYKOMISH, Washington, 98288-0325",Thomas L Jay,tjay@skykomish.wednet.edu,(360)677-2623,https://www.skykomishschool.com/,King,King,1,39,Public School District,2,10613125668.7396,464359.844671607
98,100019,17801,121,Puget Sound Educational Service District 121,17405,Bellevue School District,Bellevue,,"12111 NE 1ST ST, BELLEVUE, Washington, 98005-3183","PO BOX 90010, BELLEVUE, Washington, 98005-3183",Ivan  Duran,durani@bsd405.org,(425)456-4025,https://bsd405.org/,King,King,"1, 9","41, 48",Public School District,2,1167749677.09717,183479.852192695
99,100243,17801,121,Puget Sound Educational Service District 121,17406,Tukwila School District,Tukwila,,"4640 S 144TH ST, TUKWILA, Washington, 98168-4134","4640 S 144TH ST, TUKWILA, Washington, 98168-4134",Lester  Herndon,herndonf@tukwila.wednet.edu,(206)901-8000,https://www.tukwilaschools.org/,King,King,9,"11, 33",Public School District,2,155140091.835571,78420.2042683694
100,100222,17801,121,Puget Sound Educational Service District 121,17407,Riverview School District,Riverview,,"15510 1st Ave NE, DUVALL, Washington, 98019","PO Box 519, DUVALL, Washington, 98019",Anthony Lloyd Smith,smitha@rsd407.org,(425)844-4504,http://rsd407.org/,King,King,1,"5, 45",Public School District,2,4986282807.7478,374915.481779203
101,100016,17801,121,Puget Sound Educational Service District 121,17408,Auburn School District,Auburn,,"915 4TH ST NE, AUBURN, Washington, 98002-4452","915 4TH ST NE, AUBURN, Washington, 98002-4452",Alan  Spicciati,aspicciati@auburn.wednet.edu,(253)931-4914,https://www.auburn.wednet.edu,King,"King, Pierce",8,"30, 31, 47",Public School District,2,1599575418.10962,269453.7388622
102,100263,17801,121,Puget Sound Educational Service District 121,17409,Tahoma School District,Tahoma,,"25720 MAPLE VALLEY BLK DIAM RD, MAPLE VALLEY, Washington, 98038-8313","25720 MAPLE VALLEY BLK DIAM RD, MAPLE VALLEY, Washington, 98038-8313",  ,,,https://www.tahomasd.us/,King,King,8,5,Public School District,2,3384708977.24103,434911.354192997
103,100240,17801,121,Puget Sound Educational Service District 121,17410,Snoqualmie Valley School District,Snoqualmie Valley,,"8001 SILVA AVE SE, SNOQUALMIE, Washington, 98065-0400","PO BOX 400, SNOQUALMIE, Washington, 98065-0400",Robert W Manahan,manahanr@svsd410.org,(425)831-8000,https://www.svsd410.org/,King,King,"1, 8",5,Public School District,2,10969232910.1787,695548.86336498
104,100111,17801,121,Puget Sound Educational Service District 121,17411,Issaquah School District,Issaquah,,"5150 220th Ave SE, ISSAQUAH, Washington, 98029","5150 220th Ave SE, ISSAQUAH, Washington, 98029",Ronald Dion Thiele,ThieleR@issaquah.wednet.edu,(425)837-7002,https://www.issaquah.wednet.edu/,King,King,"8, 9","5, 41, 48",Public School District,2,2929232709.51166,298287.609011857
105,100236,17801,121,Puget Sound Educational Service District 121,17412,Shoreline School District,Shoreline,,"18560 1ST AVE NE, SHORELINE, Washington, 98155-2118","18560 1ST AVE NE, SHORELINE, Washington, 98155-2118",Rebecca Lee Miner,rebecca.miner@shorelineschools.org,(206)393-4203,https://www.shorelineschools.org,King,King,7,"32, 46",Public School District,2,620884911.835999,112842.446306466
106,100127,17801,121,Puget Sound Educational Service District 121,17414,Lake Washington School District,Lake Washington,,"16250 NE 74TH ST, REDMOND, Washington, 98052","PO BOX 97039, REDMOND, Washington, 98073-9739",Jonathon  Holmen,joholmen@lwsd.org,(425)936-6600,https://www.lwsd.org,King,King,"1, 8","1, 45, 48",Public School District,2,2117406398.81024,283554.513966415
107,100117,17801,121,Puget Sound Educational Service District 121,17415,Kent School District,Kent,,"12033 SE 256TH ST, KENT, Washington, 98031-6643","12033 SE 256TH ST, KENT, Washington, 98031-6643",Calvin J Watts,Calvin.Watts@kent.k12.wa.us,(253)373-7701,https://www.kent.k12.wa.us/,King,King,"8, 9","5, 11, 33, 47",Public School District,2,1919804376.47675,265933.302619339
108,100174,17801,121,Puget Sound Educational Service District 121,17417,Northshore School District,Northshore,,"3330 Monte Villa Parkway, BOTHELL, Washington, 98021-8972","3330 Monte Villa Parkway, BOTHELL, Washington, 98021-8972",Michelle  Reid,mreid@nsd.org,(425)408-7701,https://www.nsd.org,King,"King, Snohomish","1, 2","1, 45, 46",Public School District,2,1665218759.02075,242118.874832265
109,100026,18801,114,Olympic Educational Service District 114,18100,Bremerton School District,Bremerton,,"134 MARION AVE N, BREMERTON, Washington, 98312-3542","134 MARION AVE N, BREMERTON, Washington, 98312-3542",Aaron  Leavell,Aaron.Leavell@Bremertonschools.org,(360)473-1004,https://www.bremertonschools.org,Kitsap,Kitsap,6,"23, 26, 35",Public School District,2,642472638.922668,135475.859062236
110,100017,17801,121,Puget Sound Educational Service District 121,18303,Bainbridge Island School District,Bainbridge Island,,"8489 MADISON AVE NE, BAINBRIDGE ISLAND, Washington, 98110-2999","8489 MADISON AVE NE, BAINBRIDGE ISLAND, Washington, 98110-2999",Peter  Bang-Knudsen,pbangknudsen@bisd303.org,(206)780-1050,https://www.bisd303.org/,Kitsap,Kitsap,6,23,Public School District,2,1814366404.89539,180918.584662437
111,100169,18801,114,Olympic Educational Service District 114,18400,North Kitsap School District,North Kitsap,,"18360 Caldart Ave NE, Poulsbo, Washington, 98370","18360 Caldart Ave NE, Poulsbo, Washington, 98370",Dr. Laura H. Evans,levans@nkschools.org,(360)396-3001,http://www.nkschools.org,Kitsap,Kitsap,6,23,Public School District,2,4787344566.1875,328856.784947008
112,100038,18801,114,Olympic Educational Service District 114,18401,Central Kitsap School District,Central Kitsap,,"9210 SILVERDALE WAY NW, SILVERDALE, Washington, 98383-9197","PO BOX 8, SILVERDALE, Washington, 98383-9197",Erin  Prince,erinp@ckschools.org,(360)662-1610,https://www.ckschools.org/,Kitsap,Kitsap,6,"23, 35",Public School District,2,4102313202.03064,353788.839571688
113,100244,18801,114,Olympic Educational Service District 114,18402,South Kitsap School District,South Kitsap,,"2689 HOOVER AVE SE, PORT ORCHARD, Washington, 98366-3013","2689 HOOVER AVE SE, PORT ORCHARD, Washington, 98366-3013",Tim  Winter,winter@skschools.org,(360)874-7000,https://www.skschools.org,Kitsap,Kitsap,6,"26, 35",Public School District,2,4338862869.7038,309618.207997363
114,100063,39801,105,Educational Service District 105,19007,Damman School District,Damman,,"3600 UMPTANUM RD, ELLENSBURG, Washington, 98926-8747","3600 UMPTANUM RD, ELLENSBURG, Washington, 98926-8747",Marsha  Smith,hats2many@aol.com,(509)962-9079,Not Available,Kittitas,Kittitas,8,13,Public School District,4,1135737610.16241,174802.815412097
115,100073,39801,105,Educational Service District 105,19028,Easton School District,Easton,,"1893 RAILROAD ST, EASTON, Washington, 98925-0008","PO BOX 8, EASTON, Washington, 98925-0008",Patrick  Dehuff,dehuffp@easton.wednet.edu,(509)656-2317,https://www.easton.wednet.edu/,Kittitas,Kittitas,8,13,Public School District,4,8245520197.70557,581505.214068124
116,100266,39801,105,Educational Service District 105,19400,Thorp School District,Thorp,,"10831 N THORP HWY, THORP, Washington, 98946-0150","PO BOX 150, THORP, Washington, 98946-0150",Andrew  Perkins,perkinsa@THORPSCHOOLS.ORG,(509)964-2107,https://www.thorpschools.org/,Kittitas,Kittitas,8,13,Public School District,4,5600787809.56384,531891.779071461
117,100076,39801,105,Educational Service District 105,19401,Ellensburg School District,Ellensburg,,"1300 E 3RD AVE, ELLENSBURG, Washington, 98926-3576","1300 E 3RD AVE, ELLENSBURG, Washington, 98926-3576",Jinger  Haberer,jinger.haberer@esd401.org,(509)925-8010,https://www.esd401.org/,Kittitas,Kittitas,8,13,Public School District,4,15555945215.9691,1103915.07786426
118,100120,39801,105,Educational Service District 105,19403,Kittitas School District,Kittitas,,"505 N PIERCE ST, KITTITAS, Washington, 98934-0599","PO BOX 599, KITTITAS, Washington, 98934-0599",Mike  Nollan,mike_nollan@ksd403.org,(855)380-8844,https://www.ksd403.org/,Kittitas,Kittitas,8,13,Public School District,4,16946128965.3975,678658.343331855
119,100046,39801,105,Educational Service District 105,19404,Cle Elum-Roslyn School District,Cle Elum-Roslyn,,"4244 BULLFROG ROAD, CLE ELUM, Washington, 98922","4244 BULLFROG ROAD, CLE ELUM, Washington, 98922",Michelle  Kuss-Cybula,kuss-cybulam@cersd.org,(509)649-4851,https://www.cersd.org,Kittitas,Kittitas,8,13,Public School District,4,16713417540.7386,947273.035050955
120,100301,06801,112,Educational Service District 112,20094,Wishram School District,Wishram,,"135 BUNN, WISHRAM, Washington, 98673-0008","PO BOX 8, WISHRAM, Washington, 98673-0008",Mike  Roberts,mike.roberts@wishramschool.org,(509)748-2551,https://www.wishramschool.org/,Klickitat,Klickitat,3,14,Public School District,1,744466807.777695,142264.970493313
121,100023,39801,105,Educational Service District 105,20203,Bickleton School District,Bickleton,,"100 MARKET ST, BICKLETON, Washington, 99322-0010","PO BOX 10, BICKLETON, Washington, 99322-0010",Tom  Whitmore,twhitmore@bickletonschools.org,(509)896-5473,http://www.bickletonschools.org,Klickitat,"Klickitat, Yakima","3, 4",14,Public School District,4,12804488810.9377,552348.464535283
122,100037,06801,112,Educational Service District 112,20215,Centerville School District,Centerville,,"ATTN: Ann Varkados 2315 Centerville Hwy, CENTERVILLE, Washington, 98613-3021","ATTN:Ann Varkados 2315 Centerville Hwy, CENTERVILLE, Washington, 98613-3021",Ann  Varkados,avarkados@centervilleschool.org,(509)773-4893,https://www.centervilleschool.org/,Klickitat,Klickitat,3,14,Public School District,1,2924773875.17076,272423.294873436
123,100272,06801,112,Educational Service District 112,20400,Trout Lake School District,Trout Lake,,"2310 HIGHWAY 141, TROUT LAKE, Washington, 98650-9735","PO Box 488, TROUT LAKE, Washington, 98650-9735",Crystal   Lanz,c.lanz@tlschool.net,(509)395-2571,https://www.troutlake.k12.wa.us,Klickitat,Klickitat,3,14,Public School District,1,2332694639.57538,200840.795565697
124,100093,06801,112,Educational Service District 112,20401,Glenwood School District,Glenwood,,"320 BUNNELL ST, GLENWOOD, Washington, 98619-0012","PO BOX 12, GLENWOOD, Washington, 98619-0012",Heather  Gimlin,heather.gimlin@glenwoodsd.org,(509)364-3438,http://www.glenwood.k12.wa.us/,Klickitat,Klickitat,3,14,Public School District,1,4016522483.98355,333518.700977004
125,100121,06801,112,Educational Service District 112,20402,Klickitat School District,Klickitat,,"98 SCHOOL DRIVE, KLICKITAT, Washington, 98628-0037","PO BOX 37, KLICKITAT, Washington, 98628-0037",Brian  Freeman,brian.freeman@klickitatsd.org,(509)369-4145,https://www.klickitat.wednet.edu,Klickitat,Klickitat,3,14,Public School District,1,1170340910.30389,206802.591674295
126,100224,06801,112,Educational Service District 112,20403,Roosevelt School District,Roosevelt,,"615 CHINOOK AVE, ROOSEVELT, Washington, 99356-0248","PO BOX 248, ROOSEVELT, Washington, 99356-0248",Tom  Whitmore,twhitmor@esd112.wednet.edu,(509)384-5462,https://www.rooseveltschooldistrict.net/,Klickitat,Klickitat,3,14,Public School District,1,2522808612.06653,354632.293575986
127,100094,39801,105,Educational Service District 105,20404,Goldendale School District,Goldendale,,"604 E. BROOKS ST, GOLDENDALE, Washington, 98620","604 E. BROOKS ST, GOLDENDALE, Washington, 98620",Ellen  Perconti,ellen.perconti@gsd404.org,(509)773-5177,https://www.goldendaleschools.org/,Klickitat,Klickitat,3,14,Public School District,4,16602382572.8884,808898.48954271
128,100295,06801,112,Educational Service District 112,20405,White Salmon Valley School District,White Salmon Valley,,"171 NW WASHINGTON, WHITE SALMON, Washington, 98672-0157","PO BOX 157, WHITE SALMON, Washington, 98672-0157",Jerry A Lewis,jerry.lewis@whitesalmonschools.org,(509)493-1500,https://www.wsvsd.org/,Klickitat,"Klickitat, Skamania",3,14,Public School District,1,4695540719.34491,305262.887537545
129,100135,06801,112,Educational Service District 112,20406,Lyle School District,Lyle,,"625 KEASEY STREET, LYLE, Washington, 98635-0009","PO BOX 368, LYLE, Washington, 98635-0009",Ann  Varkados,ann.varkados@lyleschools.org,(509)365-2191,https://www.lyleschools.org,Klickitat,Klickitat,3,14,Public School District,1,4902751315.1062,474490.835412747
130,100161,34801,113,Capital Region ESD 113,21014,Napavine School District,Napavine,,"413 E PARK ST, Napavine, Washington, 98565-0840","PO BOX 840, Napavine, Washington, 98565-0840",SHANE  SCHUTZ,sschutz@napavineschools.org,(360)262-3303,http://www.napavineschools.org/,Lewis,Lewis,3,20,Public School District,1,669166195.328094,179471.271997465
131,100082,34801,113,Capital Region ESD 113,21036,Evaline School District,Evaline,,"111 SCHOOLHOUSE RD, WINLOCK, Washington, 98596-9718","111 SCHOOLHOUSE RD, WINLOCK, Washington, 98596-9718",Kyle  MacDonald,kmacdonald@evalinesd.k12.wa.us,(360)785-3460,https://www.evalinesd.k12.wa.us/,Lewis,Lewis,3,19,Public School District,1,218511347.067047,71924.6339043381
132,100154,34801,113,Capital Region ESD 113,21206,Mossyrock School District,Mossyrock,,"545 WILLIAMS ST, MOSSYROCK, Washington, 98564-0478","PO BOX 478, MOSSYROCK, Washington, 98564-0478",Glenn E. Malone,gmalone@mossyrockschools.org,(360)983-3181,http://www.mossyrockschools.org/,Lewis,Lewis,3,20,Public School District,1,5246998220.7811,382514.4945892
133,100152,34801,113,Capital Region ESD 113,21214,Morton School District,Morton,,"152 WESTLAKE AVE, MORTON, Washington, 98356-0048","PO BOX 1219, MORTON, Washington, 98356-0048",John  Hannah,jhannah@morton.k12.wa.us,(360)496-5300,https://www.morton.k12.wa.us/,Lewis,Lewis,3,20,Public School District,1,6912132734.181,584325.158271417
134,100011,34801,113,Capital Region ESD 113,21226,Adna School District,Adna,,"179 DIECKMAN RD, ADNA, Washington, 98522-0118","PO BOX 118, ADNA, Washington, 98522-0118",James   Forrest,forrestj@adnaschools.org,(360)748-0362,https://www.adnaschools.org,Lewis,Lewis,3,20,Public School District,1,2179246570.3829,292737.581068245
135,100299,34801,113,Capital Region ESD 113,21232,Winlock School District,Winlock,,"401 NW 1ST STREET, WINLOCK, Washington, 98596-9417","PO BOX 128, WINLOCK, Washington, 98596-9417",GARRY  CAMERON,gcameron@winlock.wednet.edu,(360)785-3582,https://www.winlockschools.org/,Lewis,Lewis,3,20,Public School District,1,1416583147.69669,244385.433208485
136,100025,34801,113,Capital Region ESD 113,21234,Boistfort School District,Boistfort,,"983 BOISTFORT RD, CURTIS, Washington, 98538-9734","983 BOISTFORT RD, CURTIS, Washington, 98538-9734",  ,,,https://boistfortbraves.com/,Lewis,Lewis,3,19,Public School District,1,4045185902.52966,348909.852650243
137,100267,34801,113,Capital Region ESD 113,21237,Toledo School District,Toledo,,"116 RAMSEY WAY, TOLEDO, Washington, 98591-0469","PO BOX 469, TOLEDO, Washington, 98591-0469",Chris  Rust,crust@toledoschools.us,(360)864-6325,http://www.toledoschools.us/,Lewis,Lewis,3,20,Public School District,1,3631159643.17068,358517.095497717
138,100184,34801,113,Capital Region ESD 113,21300,Onalaska School District,Onalaska,,"540 CARLISLE AVE, ONALASKA, Washington, 98570-9654","540 CARLISLE AVE, ONALASKA, Washington, 98570-9654",Jeff  Davis,jdavis@onysd.wednet.edu,(360)978-4111,http://www.onysd.wednet.edu/,Lewis,Lewis,3,20,Public School District,1,6342154502.29086,449307.837076156
139,100198,34801,113,Capital Region ESD 113,21301,Pe Ell School District,Pe Ell,,"519 NORTH 2ND, PE ELL, Washington, 98572-0368","PO BOX 368, PE ELL, Washington, 98572-0368",Kyle  MacDonald,kmacdonald@peell.k12.wa.us,(360)291-3244,https://www.peell.k12.wa.us/,Lewis,"Lewis, Pacific",3,20,Public School District,1,4126548758.88345,375470.797615694
140,100041,34801,113,Capital Region ESD 113,21302,Chehalis School District,Chehalis,,"310 SW 16TH ST, CHEHALIS, Washington, 98532-3809","310 SW 16TH ST, CHEHALIS, Washington, 98532-3809",Christine  Moloney,cmoloney@chehalisschools.org,(360)807-7200,https://chehalisschools.org/,Lewis,Lewis,3,20,Public School District,1,2659271196.92749,388227.483859539
141,100293,34801,113,Capital Region ESD 113,21303,White Pass School District,White Pass,,"516 Silverbrook, Randle, Washington, 98377","PO BOX 188, RANDLE, Washington, 98377-9208",Paul  Farris,pfarris@whitepass.k12.wa.us,(360)497-3791,https://www.whitepass.k12.wa.us,Lewis,Lewis,3,20,Public School District,1,25294873964.8319,827743.078893971
142,100040,34801,113,Capital Region ESD 113,21401,Centralia School District,Centralia,,"2320 BORST AVE, CENTRALIA, Washington, 98531-0610","PO Box 610, CENTRALIA, Washington, 98531",Lisa  Grant,lgrant@centralia.wednet.edu,(360)330-7600,https://www.centralia.k12.wa.us,Lewis,"Lewis, Thurston",3,20,Public School District,1,4028330577.16171,434108.601398277
143,100248,32801,101,Educational Service District 101,22008,Sprague School District,Sprague,,"S 512 F STREET, SPRAGUE, Washington, 99032-0305","PO BOX 305, SPRAGUE, Washington, 99032-0305",William  Ressel,bressel@sprague.wednet.edu,(509)257-2511,https://www.spraguelamont.org,Lincoln,"Adams, Lincoln","4, 5",13,Public School District,5,5305663956.11011,378933.112159508
144,100215,32801,101,Educational Service District 101,22009,Reardan-Edwall School District,Reardan-Edwall,,"116 S Lake Street, REARDAN, Washington, 99029-0225","PO BOX 225, REARDAN, Washington, 99029-0225",Eric J Sobotta,esobotta@reardansd.net,(509)869-3231,http://www.reardan.net,Lincoln,"Lincoln, Spokane",5,13,Public School District,5,10996581522.7942,818622.172681121
145,100012,32801,101,Educational Service District 101,22017,Almira School District,Almira,,"310 S 3RD ST, ALMIRA, Washington, 99103-0217","PO BOX 217, ALMIRA, Washington, 99103-0217",Shauna L Schmerer,sschmerer@almirasd.org,(509)639-2414,http://www.achsd.org/,Lincoln,"Grant, Lincoln","4, 5",13,Public School District,5,5793439699.85339,413452.697702611
146,100060,32801,101,Educational Service District 101,22073,Creston School District,Creston,,"485 SE E ST, CRESTON, Washington, 99117-0017","485 SE E ST, CRESTON, Washington, 99117-0017",Charles  Wyborney,cwyborney@wcsd.wednet.edu,(509)636-2721,https://www.wcsd.wednet.edu/,Lincoln,Lincoln,5,13,Public School District,5,7183026890.26355,479155.377615519
147,100180,32801,101,Educational Service District 101,22105,Odessa School District,Odessa,,"311 S FIRST ST, ODESSA, Washington, 99159-0248","PO BOX 248, ODESSA, Washington, 99159-0248",Dan  Read,readd@odessa.wednet.edu,(509)982-2668,https://www.odessa.wednet.edu/,Lincoln,"Adams, Grant, Lincoln","4, 5",13,Public School District,5,16722538482.8207,793160.985236331
148,100296,32801,101,Educational Service District 101,22200,Wilbur School District,Wilbur,,"202 POPE ST, WILBUR, Washington, 99185-1090","PO BOX 1090, WILBUR, Washington, 99185-1090",Charles R Wyborney,cwyborney@wcsd.wednet.edu,(509)647-2221,https://www.wcsd.wednet.edu/,Lincoln,Lincoln,5,13,Public School District,5,8718594657.36475,527395.012234971
149,100103,32801,101,Educational Service District 101,22204,Harrington School District,Harrington,,"100 S First, HARRINGTON, Washington, 99134-0204","PO Box 204, HARRINGTON, Washington, 99134-0248",Wayne  Massie,wmassie@harringtonsd.org,(509)253-4331,https://www.harringtonsd.org/,Lincoln,Lincoln,5,13,Public School District,5,9062922468.88257,572058.905834045
150,100065,32801,101,Educational Service District 101,22207,Davenport School District,Davenport,,"801 7th Street, DAVENPORT, Washington, 99122-9548","801 7th Street, DAVENPORT, Washington, 99122-9548",James  Kowalkowski,jkowalkowski@davenportsd.org,(509)725-1481,https://www.davenport.wednet.edu/,Lincoln,Lincoln,5,13,Public School District,5,9336836088.0636,696411.800379152
